puzzleId,title,identifiers
3687,Broken Pottery,HSG.C.A.2
4647,Measuring Cylinders,HSG.C.A.2
17050,Off on a Tangent,HSG.C.A.4
5151,A Minor Problem,HSG.C.B.5
5175,Pythagorean Circles,HSG.C.B.5
2739,Precision Paper Folding,HSG.CO.B.6
879,Save the Lake!,HSG.GMD.A.3
3051,Ants Marching,HSG.GMD.B.4
3927,Fitting In,HSG.GMD.B.4
5319,In a Pickle,HSG.MG.A.3
4623,Voulez Vous des Voussoirs?,HSG.MG.A.3
5271,Pondering Pantographs,"HSG.SRT.A.1, HSG.SRT.B.5"
17058,How Long is the Base?,HSG.SRT.B.5
4659,Kyle's Similar Triangles,HSG.SRT.B.5
4635,Making a Map,HSG.SRT.B.5
2907,A Carpenter's Trisection,HSG.SRT.B.5
2883,Square in a Right Triangle,HSG.SRT.B.5
4719,Why Does This Construction Work?,HSG.SRT.B.5
2919,Arc to Area,HSG.SRT.C.8
3699,Field of View,HSG.SRT.C.8
5295,Flying High,HSG.SRT.C.8
3039,Nautical Navigation,HSG.SRT.C.8
17067,Pisa's Lean,HSG.SRT.C.8
3147,The Perimeter of an Octagon,HSG.SRT.C.8
2871,Fix This Picture,"HSG.SRT.C.8, HSG.C.A.2"
735,A Circle Inscribed in an Isosceles Triangle,"HSG.SRT.C.8, HSG.C.A.2"
4707,"Spring Up, Fall Back","HSG.SRT.C.8, HSG.SRT.D.11"
