puzzleId,title,identifiers
4051,Imogene the Imp,"4.OA.C.5,5.OA.B.3"
3595,Lighting the Menorah,"4.OA.C.5,5.OA.B.3"
5131,Order in the Court,"4.OA.C.5,5.OA.B.3"
649,Tatianna and the Troll,"4.OA.C.5,5.OA.B.3"
385,Team Tag,"4.OA.C.5,5.OA.B.3"
1729,Video Trading,"4.OA.C.5,5.OA.B.3"
481,What Was That Score?,"4.OA.C.5,5.OA.B.3"
457,Wordy Problems,"4.OA.C.5,5.OA.B.3"
1898,Gearing Up,"4.OA.C.5,5.OA.B.3"
2708,Operating Diagonally,"4.OA.C.5,5.OA.B.3"
950,Square Dancing,"4.OA.C.5,5.OA.B.3"
1730,The Magic of Number 6174,"4.OA.C.5,5.OA.B.3"
5192,Gas Guzzlers,5.MD.A.1
590,Power Outage,5.MD.A.1
470,Pouring the Punch,"5.MD.A.1,6.RP.A.3,7.G.B.6,8.G.C.9"
553,Cubic Changes,5.MD.C
2887,Filling the Freezer,"5.MD.C.3,5.MD.C.4,5.MD.C.5"
529,Splish Splash,"5.MD.C.3,5.MD.C.4,5.MD.C.5"
3547,Pumpkin Pride,5.NBT.A.4
2707,School Spirit,5.NBT.A.4
1346,Math Club Lollipop Profits,5.NBT.B.5
3031,Building the Fence,5.NBT.B.7
829,Super Deal Salsa,5.NBT.B.7
5239,Toys To Go,5.NBT.B.7
5251,Chicken Little's Eggs,5.NF.B.6
2815,Subway Subtotals,5.NF.B.6
974,Office Tile Choice,5.NF.B.6
1718,Join Us for a Quarter-pound Burger,5.NF.B.7.b
745,Farmer Fever's Hay,5.OA.B.3
421,Feathers and Fur,5.OA.B.3
386,The Complex Apartment Complex,5.OA.B.3
710,Back Yard Trees,"5.OA.B.3,6.G.A.3,6.SP.B.5"
3164,Colors of the Olympic Rings,"5.OA.B.3,6.RP.A.3"
3248,Falling Leaves,6.EE.A.1
3056,Accounting for Age,"6.EE.A,6.EE.B.6"
2756,Anh's Code,6.EE.A.1
2948,Lemonade Fun,6.EE.A.1
2864,Lucky Lollipops,6.EE.A.1
1370,Falling into Sequences,"6.EE.A.1,7.EE.B.3,HSF.IF.A.1"
3356,Choosing Cs,"6.EE.A.1,7.SP.C.5"
3212,Change Woes,6.EE.A.2
3260,Election Day in Prealgpoweria,6.EE.A.2
5252,Mixing Marbles,6.EE.A.2
5168,Two Heads Are Better Than One,6.EE.A.2
5204,Unknown Numbers,6.EE.A.2
3020,Chirp! Chirp!,"6.EE.A.2,6.EE.C.9,7.RP.A.2,8.EE.B.6,8.F.A.3,8.F.B.4"
890,How Old is Ms. Nelson?,"6.EE.B,6.EE.C.9,7.RP.A.2,7.EE.B.4,8.EE.C.7,.8.EE.C.8,8.F.B.4"
3572,Integer Images,6.EE.B.5
1418,Membership Boom!,6.EE.B.5
5212,Symbol Logic,"6.EE.B.5,HSA.CED.A.1,HSA.CED.A.3"
1946,Club Competition,6.EE.B.6
686,Duke is Missing,6.EE.B.6
1610,Saturday Bike Ride,"6.EE.B.6,6.EE.B.7"
1118,Distance Driving,"6.EE.B.6,6.EE.C.9,7.RP.A.2,8.EE.B.6,8.F.A.3,8.F.B.4"
5144,Measuring Melons,"6.EE.B.6,6.EE.C.9,8.EE.C.8"
554,Car Rental Quandry,6.EE.B.7
4064,Bank Balances,6.EE.C.9
3584,Covered Bridges,6.EE.C.9
2792,Sharing Birthday Cake,6.EE.C.9
3236,A Quilt Made of Squares,6.G.A.1
3524,Cork Costs,6.G.A.1
746,He Ate It All!,6.G.A.1
3128,Women's Walkway,6.G.A.1
1742,Quilting Squares,"6.G.A.1,7.G.B.4,HSA.SSE.A.1"
2972,Fences for Fido and Friends,"6.G.A.1,7.G.B.6,HSA.SSE.A.1"
1069,The Great Flood,6.G.A.2
3596,Stacking Wood,6.G.A.2
3332,Valentine's Day Candy,6.G.A.2
1129,"Chocolate, Orange, Mega-mint Swirl","6.G.A.2,8.G.C.9"
2888,3-D Vision,6.G.A.4
1035,Nets of a Cube,6.G.A.4
4532,Counting Chicken Wings,6.NS.B.4
2042,Coding Conundrums,"6.NS.B,HSA.SSE.A.1.a"
2960,Divisible by a Dozen,"6.NS.B,HSA.SSE.A.1.a"
2720,Kate's Combination,6.NS.B.2
566,Coin Count,"6.NS.B.3,6.EE.B,7.NS.A.1,7.EE.B.4,8.EE.C"
5180,Lillian's Lines,6.NS.B.4
374,Guess My Number If You Can!,"6.NS.B.4,7.EE.B.3,8.EE.A.2"
625,My Almond Cookie Bake,"6.NS.B.4,7.NS.A.2,7.NS.A.3,7.EE.B.3,8.EE.A.2"
362,Open and Shut Case,"6.NS.B.4,8.EE.A.2"
1874,Commuting Conundrum,"6.NS.C,7.NS.A"
3680,Integer Game,6.NS.C.5
17062,Shelvin's Scores,6.NS.C.5
4592,Sketchley Names that Negative,6.NS.C.5
3392,Sketchley Names that Number,6.NS.C.5
2900,Graphs,"6.NS.C.6,7.RP.A.2,8.F.B.4"
2979,Taxicab Distances,6.NS.C.8
3668,Cadence,"6.RP.A,7.RP.A,8.EE.B.5"
4664,Heavy Hoisting,6.RP.A.1
5264,Peeling Potatoes,6.RP.A.1
1850,Seesaw,6.RP.A.1
5324,Sing a Song of Sunscreen,6.RP.A.1
3068,Sizing Up Sequoias,6.RP.A.1
3932,Tasty Tomato Salsa,6.RP.A.1
3896,The Cost of Chocolate,6.RP.A.1
2768,The Oracle's Oration,6.RP.A.1
3656,Which Coupon Is Better?,6.RP.A.1
4040,Birthday Line Up,6.RP.A.1
3044,Garden Grove,"6.RP.A.1,6.G.A.2,7.G.B.6,8.G.C.9"
17064,Holding Pattern,"6.RP.A.1,6.RP.A.3"
770,Lightning Strikes,"6.RP.A.1,6.RP.A.3,7.RP.A.3,7.NS.A.3,7.EE.B.3"
578,Lost in Des Moines,"6.RP.A.2,6.RP.A.3,7.RP.A"
3032,Perfect Timing,"6.RP.A.2,6.RP.A.3,7.RP.A.1"
1993,At the Movies,6.RP.A.3
301,Chime Time,"6.RP.A.3, 5.NF.B.6,4.MD.A.2"
493,Growing Pains,6.RP.A.3
853,Neighborhood Watch,6.RP.A.3
3608,A Happy New Year Wish,6.RP.A.3
482,A Holiday Gift for Grandmother Brown,6.RP.A.3
3644,A Pound of Valentine's Chocolate,6.RP.A.3
3308,A Snowy Driveway,6.RP.A.3
4544,Apple Picking,6.RP.A.3
5288,Bartering for Bananas,6.RP.A.3
2078,Boxes of Stationery,6.RP.A.3
1970,"Citius, Altius, Fortius",6.RP.A.3
4640,Days on Other Planets,6.RP.A.3
3512,Designing Doorways for Rich and Riz,6.RP.A.3
4724,Downloading Duel,6.RP.A.3
3104,Drama Dollars,6.RP.A.3
3908,Getting Your Kicks on Route 66,6.RP.A.3
3080,I'm a Groundhog?,6.RP.A.3
16004,Kaytee's Contest,6.RP.A.3
3224,Lee's Lawn Chair,6.RP.A.3
3728,Milo's Mile,6.RP.A.3
5156,Ostrich Llama Count,6.RP.A.3
2780,Thanksgiving Travel,6.RP.A.3
3368,The Gates,6.RP.A.3
1082,The Nutty Squirrel,6.RP.A.3
3980,Tunnel Time,6.RP.A.3
17065,Val's Value,6.RP.A.3
1778,Batter Up!,"6.RP.A.3,6.SP.A.3,6.SP.B.5,7.RP.A.3,7.NS.A.3,8.EE.B.6"
962,Downhill All the Way,"6.RP.A.3,7.NS.A.3,8.EE.B.6"
1214,Do you listen to WMTH or WALG?,"6.RP.A.3,7.RP.A.3,7.NS.A.3,8.EE.B.6"
3140,All the Similar Triangles,"6.RP.A.3,8.G.A.1"
1982,Buying Cola,6.RP.A.3.b
1669,Back-to-school Supplies,6.RP.A.3.c
2911,Count the Discount,6.RP.A.3.c
445,Frugal Freeda,6.RP.A.3.c
1417,The Twelve Percents of Christmas,6.RP.A.3.c
3548,Coast to Coast Driving Costs,6.RP.A.3.c
4100,Cynthia's Solitaire Challenge,6.RP.A.3.c
4088,Mikey and Lily Eat Cereal,6.RP.A.3.c
5312,"Waste Not, Want Not",6.RP.A.3.c
3379,Penny Dates,6.SP.B.5.c
3428,Scale Stepping,6.SP.A.2
4124,Ian's Rides,6.SP.B.5.b
3956,Marathon Man,6.SP.B.5.b
4616,Richard's Rides,6.SP.B.5.c
